Familienavn,Vitenskapelig navn,Slekt - Norsk,Art - Norsk,Sjikt,bilde_url,wikipedia_url,bilde_status
Crassulaceae,Sedum villosum,Sylurt,Fjøresuløk,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Sedum_villosum_Moor-Mauerpfeffer.JPG/500px-Sedum_villosum_Moor-Mauerpfeffer.JPG,https://no.wikipedia.org/wiki/Lodnebergknapp,FUNNET
Primulaceae,Lysimachia vulgaris,Fredløs,Fredløs,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Lysimachia_vulgaris.jpeg/500px-Lysimachia_vulgaris.jpeg,https://no.wikipedia.org/wiki/Fredl%C3%B8s,FUNNET
Amaranthaceae,Chenopodium album,Melde,Frømelde,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Chenopodium_polyspermum_2005.08.21_15.18.04-p8210049.jpg/500px-Chenopodium_polyspermum_2005.08.21_15.18.04-p8210049.jpg,https://no.wikipedia.org/wiki/Fr%C3%B8melde,FUNNET
Dryopteridaceae,Athyrium filix-femina,Telg,Fugletelg,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Gymnocarpium_dryopteris_AT.JPG/500px-Gymnocarpium_dryopteris_AT.JPG,https://no.wikipedia.org/wiki/Fugletelg,FUNNET
Fabaceae,Vicia cracca,Vikke,Fuglevikke,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Fuglevikke11.jpg/500px-Fuglevikke11.jpg,https://no.wikipedia.org/wiki/Fuglevikke,FUNNET
Pinaceae,Pinus sylvestris,Furu,Furu,Tresjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Kalkfuruskog.jpg/500px-Kalkfuruskog.jpg,https://no.wikipedia.org/wiki/Furu,FUNNET
Oxalidaceae,Oxalis acetosella,Gauksyre,Gauksyre,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Gaukesyre08.jpg/500px-Gaukesyre08.jpg,https://no.wikipedia.org/wiki/Gj%C3%B8kesyre,FUNNET
Onagraceae,Epilobium angustifolium,Mjølke,Geitrams,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Epilobe_feuilles_etroites_01.jpg/500px-Epilobe_feuilles_etroites_01.jpg,https://no.wikipedia.org/wiki/Geitrams,FUNNET
Apiaceae,Carum carvi,Karve,Gjeldkarve,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Carum_carvi_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-172.jpg/500px-Carum_carvi_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-172.jpg,https://no.wikipedia.org/wiki/Karve,FUNNET
Brassicaceae,Capsella bursa-pastoris,Gjetertaske,Gjetertaske,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Capsella_bursa_pastoris_lomme.jpg/500px-Capsella_bursa_pastoris_lomme.jpg,https://no.wikipedia.org/wiki/Gjetertaske,FUNNET
Pinaceae,Picea abies,Gran,Gran,Tresjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Picea_abies_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-105.jpg/500px-Picea_abies_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-105.jpg,https://no.wikipedia.org/wiki/Gran,FUNNET
Fagaceae,Quercus robur,Eik,Sommereik,Tresjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Duby_nad_Pozorkou_I.jpg/500px-Duby_nad_Pozorkou_I.jpg,https://no.wikipedia.org/wiki/Sommereik,FUNNET
Rubiaceae,Galium odoratum,Galium,Gulmaure,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Galium_verum_02.jpg/500px-Galium_verum_02.jpg,https://no.wikipedia.org/wiki/Gulmaure,FUNNET
Poaceae,Bromus racemosus,Gulskolm,Gulskolm,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/%28MHNT%29_Lathyrus_pratensis_-_Inflorescence.jpg/500px-%28MHNT%29_Lathyrus_pratensis_-_Inflorescence.jpg,https://no.wikipedia.org/wiki/Gulflatbelg,FUNNET
Polygonaceae,Rumex acetosella,Gåsemure,Gåsemure,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Gaasemure02.jpg/500px-Gaasemure02.jpg,https://no.wikipedia.org/wiki/G%C3%A5semure,FUNNET
Rosaceae,Crataegus monogyna,Hagetorn,Hagetorn,Busksjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Crataegus_azarolus_Zingaro_084.jpg/500px-Crataegus_azarolus_Zingaro_084.jpg,https://no.wikipedia.org/wiki/Hagtorn,FUNNET
Fabaceae,Trifolium arvense,Klover,Harekløver,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Trifolium_arvense_-_kassiristik_Keilas.jpg/500px-Trifolium_arvense_-_kassiristik_Keilas.jpg,https://no.wikipedia.org/wiki/Harekl%C3%B8ver,FUNNET
Betulaceae,Corylus avellana,Hassel,Hassel,Busksjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Hasselblade.jpg/500px-Hasselblade.jpg,https://no.wikipedia.org/wiki/Hassel,FUNNET
Rosaceae,Prunus padus,Hegg,Hegg,Tres/Busksjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Prunus_racemosa_a1.jpg/500px-Prunus_racemosa_a1.jpg,https://no.wikipedia.org/wiki/Hegg,FUNNET
Apiaceae,Anthriscus sylvestris,Hundekjeks,Hundekjeks,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Anthriscus_sylvestris_Fluitenkruidbloemen.jpg/500px-Anthriscus_sylvestris_Fluitenkruidbloemen.jpg,https://no.wikipedia.org/wiki/Hundekjeks,FUNNET
Betulaceae,Betula pendula 'Tristis',Hengjebjørk,Hengjebjørk,Tresjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Betula_pendula_Finland.jpg/500px-Betula_pendula_Finland.jpg,https://en.wikipedia.org/wiki/Betula_pendula,FUNNET
Fabaceae,Medicago sativa,Vengjevengjevene,Vengjevengjevene,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Medicago_sativa_-_harilik_lutsern_Keilas.jpg/500px-Medicago_sativa_-_harilik_lutsern_Keilas.jpg,https://no.wikipedia.org/wiki/Bl%C3%A5lusern,FUNNET
Fabaceae,Vicia sepium,Vingev,Vengjeving,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Gjerdevikke12.jpg/500px-Gjerdevikke12.jpg,https://no.wikipedia.org/wiki/Gjerdevikke,FUNNET
Asteraceae,Tussilago farfara,Hestehov,Hestehov,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Tussilago_farfara_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-142.jpg/500px-Tussilago_farfara_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-142.jpg,https://no.wikipedia.org/wiki/Hestehov,FUNNET
Brassicaceae,Cardamine pratensis,Honingkarse,Honingkarse,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Pinksterbloem.jpg/500px-Pinksterbloem.jpg,https://no.wikipedia.org/wiki/Engkarse,FUNNET
Fabaceae,Trifolium repens,Kløver,Hvitkløver,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/BaltasisDobilas001.JPG/500px-BaltasisDobilas001.JPG,https://no.wikipedia.org/wiki/Hvitkl%C3%B8ver,FUNNET
Rubiaceae,Galium mollugo,Galium,Hvitmaure,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Rubiaceae_-_Galium_mollugo.JPG/500px-Rubiaceae_-_Galium_mollugo.JPG,https://en.wikipedia.org/wiki/Galium_mollugo,FUNNET
Poaceae,Agrostis spp.,Agrostis,Hønsegras,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Persicaria_8_11_2010_014.jpg/500px-Persicaria_8_11_2010_014.jpg,https://no.wikipedia.org/wiki/H%C3%B8nsegras,FUNNET
Polygonaceae,Rumex longifolius,Mole,Høymole,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Hoymuggel.jpg/500px-Hoymuggel.jpg,https://no.wikipedia.org/wiki/H%C3%B8ymol,FUNNET
Asteraceae,Solidago canadensis,Riselskap,Kanadagulris,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Solidago_canadensis_20050815_248.jpg/500px-Solidago_canadensis_20050815_248.jpg,https://no.wikipedia.org/wiki/Kanadagullris,FUNNET
Rosaceae,Prunus spp.,Kirsebær,Kirsebær,Busksjikt/Tresjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Vir%C3%A1gz%C3%B3_meggyfa1.jpg/500px-Vir%C3%A1gz%C3%B3_meggyfa1.jpg,https://no.wikipedia.org/wiki/Kirseb%C3%A6r,FUNNET
Poaceae,Anthoxanthum odoratum,Kjempesøt gras,Kjempesøt gras,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/AnthoxanthumOdoratum.jpg/500px-AnthoxanthumOdoratum.jpg,https://no.wikipedia.org/wiki/Gulaks,FUNNET
Rubiaceae,Galium aparine,Galium,Klengemaure,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Galium_aparine_b.jpg/500px-Galium_aparine_b.jpg,https://en.wikipedia.org/wiki/Galium_aparine,FUNNET
Fabaceae,Trifolium pratense,Kløver,Rødkløver,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Cleaned-Illustration_Trifolium_pratense.jpg/500px-Cleaned-Illustration_Trifolium_pratense.jpg,https://no.wikipedia.org/wiki/R%C3%B8dkl%C3%B8ver,FUNNET
Cyperaceae,Eleocharis palustris,Siv,Knappsiv,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/EleocharisPalustrisAspekt.jpg/500px-EleocharisPalustrisAspekt.jpg,https://en.wikipedia.org/wiki/Eleocharis_palustris,FUNNET
