Familienavn,Vitenskapelig navn,Slekt - Norsk,Art - Norsk,Sjikt,bilde_url,wikipedia_url,bilde_status
Caprifoliaceae,Knautia arvensis,Knapp,Rødknapp,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Acker-Witwenblume_Knautia_arvensis.jpg/500px-Acker-Witwenblume_Knautia_arvensis.jpg,https://no.wikipedia.org/wiki/R%C3%B8dknapp,FUNNET
Ericaceae,Calluna vulgaris,Lyng,Røsslyng,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Calluna_vulgaris_1.jpg/500px-Calluna_vulgaris_1.jpg,https://no.wikipedia.org/wiki/R%C3%B8sslyng,FUNNET
Juncaceae,Juncus gerardii,Siv,Saltsiv,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Juncus_gerardii.jpeg/500px-Juncus_gerardii.jpeg,https://en.wikipedia.org/wiki/Juncus_gerardii,FUNNET
Salicaceae,Salix caprea,Selje,Selje,Tresjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Cleaned-Illustration_Salix_caprea.jpg/500px-Cleaned-Illustration_Salix_caprea.jpg,https://no.wikipedia.org/wiki/Selje_(tre),FUNNET
Apiaceae,Cicuta virosa,Selsnepe,Selsnepe,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Cicuta_virosa_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-038_cropped.jpg/500px-Cicuta_virosa_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-038_cropped.jpg,https://no.wikipedia.org/wiki/Selsnepe,FUNNET
Polypodiaceae,Polypodium vulgare,Bregne,Sisselrot,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Polypodium_vulgare_jfg.jpg/500px-Polypodium_vulgare_jfg.jpg,https://no.wikipedia.org/wiki/Sisselrot,FUNNET
Dryopteridaceae,Dryopteris filix-mas,Burkne,Skogburkne,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Athyrium_filix-femina0.jpg/500px-Athyrium_filix-femina0.jpg,https://no.wikipedia.org/wiki/Skogburkne,FUNNET
Asteraceae,Lactuca muralis,Salat,Skogsalat,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Mycelis_muralis.jpeg/500px-Mycelis_muralis.jpeg,https://en.wikipedia.org/wiki/Lactuca_muralis,FUNNET
Cyperaceae,Scirpus sylvaticus,Siv,Skogsiv,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/ScirpusSylvaticus.jpg/500px-ScirpusSylvaticus.jpg,https://en.wikipedia.org/wiki/Scirpus_sylvaticus,FUNNET
Equisetaceae,Equisetum sylvaticum,Snelle,Skogsnelle,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Equisetum_sylvaticum_04.jpg/500px-Equisetum_sylvaticum_04.jpg,https://no.wikipedia.org/wiki/Skogsnelle,FUNNET
Primulaceae,Trientalis europaea,Stjerne,Skogstjerne,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Skogstjerne.jpg/500px-Skogstjerne.jpg,https://no.wikipedia.org/wiki/Skogstjerne,FUNNET
Caryophyllaceae,Stellaria nemorum,Stjerneblom,Skogstjerneblom,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Skogstjerne01.jpg/500px-Skogstjerne01.jpg,https://no.wikipedia.org/wiki/Skogstjerneblom,FUNNET
Geraniaceae,Geranium sylvaticum,Storkenebb,Skogstorkenebb,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Geranium_sylvaticum.JPG/500px-Geranium_sylvaticum.JPG,https://no.wikipedia.org/wiki/Skogstorkenebb,FUNNET
Asteraceae,Scorzoneroides autumnalis,Vinrot,Skogsvinrot,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Leontodon_autumnalis_detail.jpeg/500px-Leontodon_autumnalis_detail.jpeg,https://no.wikipedia.org/wiki/F%C3%B8llblom,FUNNET
Apiaceae,Aegopodium podagraria,Skvallerkål,Skvallerkål,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Illustration_Aegopodium_podagraria0.jpg/500px-Illustration_Aegopodium_podagraria0.jpg,https://no.wikipedia.org/wiki/Skvallerk%C3%A5l,FUNNET
Salicaceae,Salix pentandra,Vier,Slyngsøt vier,Busksjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Salix_pentandra0.jpg/500px-Salix_pentandra0.jpg,https://no.wikipedia.org/wiki/Istervier,FUNNET
Ranunculaceae,Caltha palustris,Smørblom,Slølje,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Caltha_palustris_01.JPG/500px-Caltha_palustris_01.JPG,https://no.wikipedia.org/wiki/Bekkeblom,FUNNET
Rosaceae,Crataegus laevigata,Hagtorn,Slåtetorn,Busksjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Crataegus_laevigata-flowers.jpg/500px-Crataegus_laevigata-flowers.jpg,https://no.wikipedia.org/wiki/Parkhagtorn,FUNNET
Plantaginaceae,Plantago lanceolata,Kjempe,Smalkjempe,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Ribwort_600.jpg/500px-Ribwort_600.jpg,https://no.wikipedia.org/wiki/Smalkjempe,FUNNET
Poaceae,Deschampsia flexuosa,Smyle,Smyle,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Deschampsia.flexuosa.2.jpg/500px-Deschampsia.flexuosa.2.jpg,https://no.wikipedia.org/wiki/Smyle,FUNNET
Crassulaceae,Hylotelephium telephium,Sedum,Smørbukk,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Illustration-page44-Sagobok_f%C3%B6r_barn_djvu.jpg/500px-Illustration-page44-Sagobok_f%C3%B6r_barn_djvu.jpg,https://no.wikipedia.org/wiki/Sm%C3%B8rbukk,FUNNET
Ericaceae,Oxycoccus microcarpus,Tranebær,Små tranebær,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/20121015-FS-UNK-0009_%288090982330%29.jpg/500px-20121015-FS-UNK-0009_%288090982330%29.jpg,https://en.wikipedia.org/wiki/Vaccinium_microcarpum,FUNNET
Orobanchaceae,Melampyrum sylvaticum,Marimjelle,Småmarimjelle,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Wald-Wachtelweizen.JPG/500px-Wald-Wachtelweizen.JPG,https://en.wikipedia.org/wiki/Melampyrum_sylvaticum,FUNNET
Polygonaceae,Rumex acetosella,Syre,Småsyre,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Smaasyre02.jpg/500px-Smaasyre02.jpg,https://no.wikipedia.org/wiki/Sm%C3%A5syre,FUNNET
Equisetaceae,Equisetum arvense,Snelle,Snelle,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Equisetum_arvense_126536963.jpg/500px-Equisetum_arvense_126536963.jpg,https://no.wikipedia.org/wiki/%C3%85kersnelle,FUNNET
Chenopodiaceae,Salsola kali,Sodaurt,Sodaurt,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Salsola_kali_01.jpg/500px-Salsola_kali_01.jpg,https://no.wikipedia.org/wiki/Sodaurt,FUNNET
Sapindaceae,Acer platanoides,Lønn,Spisslønn,Tresjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Spitz-Ahorn_%28Acer_platanoides%29_1.jpg/500px-Spitz-Ahorn_%28Acer_platanoides%29_1.jpg,https://no.wikipedia.org/wiki/Spissl%C3%B8nn,FUNNET
Balsaminaceae,Impatiens noli-tangere,Springfrø,Springfrø,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/NoliTangere_Pflanze.jpg/500px-NoliTangere_Pflanze.jpg,https://no.wikipedia.org/wiki/Springfr%C3%B8,FUNNET
Geraniaceae,Geranium robertianum,Storkenebb,Stankstorkenebb,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Geranium_robertianum_Norway.jpg/500px-Geranium_robertianum_Norway.jpg,https://no.wikipedia.org/wiki/Stankstorkenebb,FUNNET
Violaceae,Viola tricolor,Fiol,Stemorsblomster,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Viola_tricolor_whole.jpg/500px-Viola_tricolor_whole.jpg,https://no.wikipedia.org/wiki/Stemorsblomst,FUNNET
Rubiaceae,Galium boreale,Maure,Stormaure,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Galium_boreale.jpeg/500px-Galium_boreale.jpeg,https://no.wikipedia.org/wiki/Kvitmaure,FUNNET
Urticaceae,Urtica dioica,Nesle,Stornesle,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Brennnessel_1.JPG/500px-Brennnessel_1.JPG,https://no.wikipedia.org/wiki/Stornesle,FUNNET
Asteraceae,Matricaria maritima,Balderbrå,Strandbalderbrå,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Tripleurospermum_maritimum_09.jpg/500px-Tripleurospermum_maritimum_09.jpg,https://no.wikipedia.org/wiki/Strandbalderbr%C3%A5,FUNNET
Caryophyllaceae,Honckenya peploides,Arve,Strandarve,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Strandarve01.JPG/500px-Strandarve01.JPG,https://no.wikipedia.org/wiki/Strandarve,FUNNET
Brassicaceae,Cakile maritima,Karse,Strandkarse,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Cakile_maritima_Rad%C3%A8s_beach.jpg/500px-Cakile_maritima_Rad%C3%A8s_beach.jpg,https://en.wikipedia.org/wiki/Cakile_maritima,FUNNET
Plantaginaceae,Plantago maritima,Kjempe,Strandkjempe,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Plantago_maritima_-_Iceland_-_2007-07-06.jpg/500px-Plantago_maritima_-_Iceland_-_2007-07-06.jpg,https://no.wikipedia.org/wiki/Strandkjempe,FUNNET
Primulaceae,Glaux maritima,Kryp,Strandkryp,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Glaux_maritima_no.JPG/500px-Glaux_maritima_no.JPG,https://no.wikipedia.org/wiki/Strandkryp,FUNNET
Brassicaceae,Crambe maritima,Kål,Strandkål,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Strandkaal02.jpg/500px-Strandkaal02.jpg,https://no.wikipedia.org/wiki/Strandk%C3%A5l,FUNNET
Chenopodiaceae,Atriplex littoralis,Melde,Strandmelde,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Atriplex_littoralis_89-08.jpg/500px-Atriplex_littoralis_89-08.jpg,https://no.wikipedia.org/wiki/Strandmelde,FUNNET
Brassicaceae,Raphanus raphanistrum,Reddik,Strandreddik,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Cakile_maritima_01.jpg/500px-Cakile_maritima_01.jpg,https://no.wikipedia.org/wiki/Strandreddik,FUNNET
Poaceae,Leymus arenarius,Rug,Strandrug,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Strandrug01.JPG/500px-Strandrug01.JPG,https://no.wikipedia.org/wiki/Strandrug,FUNNET
Convolvulaceae,Calystegia soldanella,Vindel,Strandvindel,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Calystegia_sepium_-_tara-seatapp.jpg/500px-Calystegia_sepium_-_tara-seatapp.jpg,https://no.wikipedia.org/wiki/Strandvindel,FUNNET
Euphorbiaceae,Euphorbia paralias,Vortemelk,Strandvortemelk,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Dr%C3%B6singer_Wald_02.jpg/500px-Dr%C3%B6singer_Wald_02.jpg,https://no.wikipedia.org/wiki/Strandvortemelk,FUNNET
Onocleaceae,Matteuccia struthiopteris,Bregne,Strutseving,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Matteuccia_struthiopteris.jpg/500px-Matteuccia_struthiopteris.jpg,https://no.wikipedia.org/wiki/Strutseving,FUNNET
Aspleniaceae,Athyrium filix-femina,Bregne,Skogburkne (Kvinne),Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Athyrium_filix-femina0.jpg/500px-Athyrium_filix-femina0.jpg,,FUNNET
Papaveraceae,Chelidonium majus,Svaleurt,Svaleurt,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Illustration_Chelidonium_majus0.jpg/500px-Illustration_Chelidonium_majus0.jpg,https://no.wikipedia.org/wiki/Svaleurt,FUNNET
Betulaceae,Alnus glutinosa,Or,Svartor,Tresjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Alnus_glutinosa_%28Schwarzerle%29.jpg/500px-Alnus_glutinosa_%28Schwarzerle%29.jpg,https://no.wikipedia.org/wiki/Svartor,FUNNET
Asteraceae,Hieracium spp.,Sveve,Sveve,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Hieracium.murorum2.-.lindsey.jpg/500px-Hieracium.murorum2.-.lindsey.jpg,https://no.wikipedia.org/wiki/Sveveslekta,FUNNET
Poaceae,Deschampsia cespitosa,Sølvbunke,Sølvbunke,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/DeschampsiaCesp.jpg/500px-DeschampsiaCesp.jpg,https://en.wikipedia.org/wiki/Deschampsia_cespitosa,FUNNET
Salicaceae,Salix glauca,Vier,Sølvvier,Busksjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Salix_glauca_hg.jpg/500px-Salix_glauca_hg.jpg,,FUNNET
Rosaceae,Potentilla argentea,Mure,Sølvmure,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Potentilla_argentea_1.jpg/500px-Potentilla_argentea_1.jpg,https://en.wikipedia.org/wiki/Potentilla_argentea,FUNNET
Poaceae,Phragmites australis,Rør,Takrør,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Phragmites_australis1.jpg/500px-Phragmites_australis1.jpg,https://no.wikipedia.org/wiki/Takr%C3%B8r,FUNNET
Rosaceae,Potentilla erecta,Mure,Tepperot,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Potentilla_erecta_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-248.jpg/500px-Potentilla_erecta_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-248.jpg,https://no.wikipedia.org/wiki/Tepperot,FUNNET
Fabaceae,Lotus corniculatus,Tunge,Tiriltunge,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Cleaned-Illustration_Lotus_corniculatus.jpg/500px-Cleaned-Illustration_Lotus_corniculatus.jpg,https://no.wikipedia.org/wiki/Tiriltunge,FUNNET
Asteraceae,Cirsium spp.,Tistel,Tistel,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Thistle_20050725_001.jpg/500px-Thistle_20050725_001.jpg,https://no.wikipedia.org/wiki/Tistel,FUNNET
Sphagnaceae,Sphagnum spp.,Mose,Torvmose,Mosesjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Sphagnum_cuspidatum_041107a.jpg/500px-Sphagnum_cuspidatum_041107a.jpg,https://no.wikipedia.org/wiki/Torvmoser,FUNNET
Plantaginaceae,Plantago major,Tungras,Tungras,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Polygonum_persicaria.jpg/500px-Polygonum_persicaria.jpg,https://no.wikipedia.org/wiki/Tungrasslekta,FUNNET
Ericaceae,Vaccinium vitis-idaea,Bær,Tyttebær,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Vaccinium_vitis-idaea_20060824_003.jpg/500px-Vaccinium_vitis-idaea_20060824_003.jpg,https://no.wikipedia.org/wiki/Tytteb%C3%A6r,FUNNET
Asteraceae,Matricaria perforata,Balderbrå,Ugrass balderbrå,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Tripleurospermum_inodorum_sl13.jpg/500px-Tripleurospermum_inodorum_sl13.jpg,https://no.wikipedia.org/wiki/Balderbr%C3%A5,FUNNET
Polygonaceae,Persicaria hydropiper,Vasspepper,Vasspepper,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Polygonum_hydropiper1.jpg/500px-Polygonum_hydropiper1.jpg,https://no.wikipedia.org/wiki/Vasspepper,FUNNET
Asteraceae,Cirsium palustre,Tistel,Veitistel,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Circium_vulgare_01.jpg/500px-Circium_vulgare_01.jpg,https://no.wikipedia.org/wiki/Veitistel,FUNNET
Caprifoliaceae,Valeriana sambucifolia,Rot,Vendelrot,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Vendelrot3.jpg/500px-Vendelrot3.jpg,https://no.wikipedia.org/wiki/Vendelrot,FUNNET
Plantaginaceae,Veronica officinalis,Veronika,Veronika,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Veronica_officinalis_1544.JPG/500px-Veronica_officinalis_1544.JPG,https://no.wikipedia.org/wiki/Legeveronika,FUNNET
Rosaceae,Rubus idaeus,Bringebær,Villbringebær,Busksjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Raspberries05.jpg/500px-Raspberries05.jpg,https://no.wikipedia.org/wiki/Bringeb%C3%A6r,FUNNET
Salicaceae,Salix aurita,Vier,Ørevier,Busksjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Salix_aurita_Sturm26.jpg/500px-Salix_aurita_Sturm26.jpg,https://no.wikipedia.org/wiki/%C3%98revier,FUNNET
Asteraceae,Sonchus arvensis,Dylle,Åkerdylle,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Sonchus_arvensis.JPG/500px-Sonchus_arvensis.JPG,https://no.wikipedia.org/wiki/%C3%85kerdylle,FUNNET
Equisetaceae,Equisetum arvense,Snelle,Åkersnelle,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Equisetum_arvense_126536963.jpg/500px-Equisetum_arvense_126536963.jpg,https://no.wikipedia.org/wiki/%C3%85kersnelle,FUNNET
